brand,name,type,afterUse,product_t,notable_e,skintype,Sensitive,Combination,Oily,Dry,Normal
ordinary,glycolic acid toning solution,toner,good oily skinskin texturereduces large poresantiagingdark spotsbrighteningdryingacne triggerirritatingrosacea,,,oily,0.0,0.0,1.0,0.0,0.0
la rocheposay,toleriane hydrating gentle face cleanser,face cleanser,good oily skinredness reducingreduces irritationantiagingacne fightingbrighteningdryingacne trigger,,,normal dry combination,0.0,1.0,0.0,1.0,1.0
ordinary,niacinamide zinc,facial treatment,good oily skinredness reducingacne fightingbrighteningirritating,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
youth people,superfood antioxidant cleanser,face cleanser,redness reducingreduces irritationskin texturereduces large poresantiagingdark spotsbrighteningdryingacne triggerirritating,,,oily,0.0,0.0,1.0,0.0,0.0
cosrx,low ph good morning gel cleanser,face cleanser,good oily skinreduces irritationreduces large poresdryingacne triggerirritating,,,normal dry,0.0,0.0,0.0,1.0,1.0
la rocheposay,toleriane purifying foaming face cleanser,face cleanser,good oily skinredness reducingantiagingacne fightingbrighteningdryingacne trigger,,,normal dry oily combination,0.0,1.0,1.0,1.0,1.0
ordinary,azelaic acid suspension,serum,redness reducingantiagingdark spotsscar healingbrighteningirritating,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
cosrx,advanced snail one cream,general moisturizer,redness reducingreduces irritationmay worsen oily skinacne trigger,,,normal dry combination,0.0,1.0,0.0,1.0,1.0
ordinary,natural moisturizing factor ha,general moisturizer,hydratingreduces large poresantiagingscar healingbrighteningdryingmay worsen oily skinacne triggerirritatingrosacea,,,oily,0.0,0.0,1.0,0.0,0.0
beauty joseon,relief sun rice probiotic,sunscreen,good oily skinredness reducingacne fightingbrightening,,,oily,0.0,0.0,1.0,0.0,0.0
paulas choice,skin perfecting bha liquid exfoliant,exfoliator,good oily skinreduces large poresacne fightingbrighteningdryingirritatingeczema,,,oily,0.0,0.0,1.0,0.0,0.0
cerave,renewing sa cleanser,face cleanser,good oily skinredness reducingreduces large poresantiagingacne fightingbrighteningdryingacne triggerirritatingeczema,,,dry oily sensitive,1.0,0.0,1.0,1.0,0.0
cerave,moisturizing cream,general moisturizer,redness reducingantiagingscar healingbrighteningmay worsen oily skinacne triggerirritating,,,normal combination,0.0,1.0,0.0,0.0,1.0
cerave,daily moisturizing lotion,general moisturizer,redness reducingantiagingacne trigger,,,oily,0.0,0.0,1.0,0.0,0.0
ordinary,hyaluronic acid,facial treatment,reduces irritationreduces large poresdryingirritating,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
cerave,foaming facial cleanser,face cleanser,good oily skinredness reducingreduces large poresantiagingacne fightingbrighteningdryingacne triggerirritating,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
apieu,pure block natural waterproof sun cream spf pa,sunscreen,dryingmay worsen oily skinacne triggerirritatingrosaceaeczema,,,dry sensitive,1.0,0.0,0.0,1.0,0.0
anna sui,liquid foundation,face makeup,dryingacne triggerirritatingrosaceaeczema,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
burt bee,bb cream spf,face makeup,reduces large poresdryingmay worsen oily skinacne triggerirritatingrosaceaeczema,,,normal dry oily combination sensitive,1.0,1.0,1.0,1.0,1.0
soap glory,heel genius moisturizing foot cream,bath body,dryingmay worsen oily skinacne triggerirritatingrosacea,,,sensitive,1.0,0.0,0.0,0.0,0.0
person covey inc,solbar avo spf,sunscreen,may worsen oily skinirritatingrosaceaeczema,,,oily,0.0,0.0,1.0,0.0,0.0
lancme,bifacil doubleaction eye makeup remover,makeup remover,dryingacne triggereczema,,,normal dry,0.0,0.0,0.0,1.0,1.0
nivea,daily essential mattifying day cream,day moisturizer,dryingacne triggerirritatingrosacea,,,normal dry combination,0.0,1.0,0.0,1.0,1.0
